"provincia","cuenca","areayacimiento","avg_gas","std_gas"
"Tierra del Fuego","AUSTRAL","ARROYO GAMMA","7.5411111111111111","3.6011123916807067"
"Tierra del Fuego","AUSTRAL","BAJO GUADALOSO","12.1593750000000000","4.3300184275974315"
"Tierra del Fuego","AUSTRAL","CABO NOMBRE","129.7345454545454545","44.6237260386017274"
"Tierra del Fuego","AUSTRAL","CAÑADON ALFA-ARA-ARA SUR-ANTARES-ARGO","2440.9966364511784512","3852.171789906332"
"Tierra del Fuego","AUSTRAL","CAÑADON PIEDRA","204.5253424657534247","224.786340592339"
"Tierra del Fuego","AUSTRAL","CARMEN SILVA","7.8195000000000000","3.5558853735003445"
"Tierra del Fuego","AUSTRAL","HIDRA-HIDRA SUR","34.8696091875000000","10.5381981571180641"
"Tierra del Fuego","AUSTRAL","KAUS","77.8233400000000000","31.7342442385261252"
"Tierra del Fuego","AUSTRAL","LA SARA","18.5963636363636364","5.8906948193354453"
"Tierra del Fuego","AUSTRAL","LA SARA NORTE","1.9188888888888889","1.0648291464413956"
"Tierra del Fuego","AUSTRAL","LAGO FUEGO","760.1355000000000000","428.423394971891"
"Tierra del Fuego","AUSTRAL","LAS VIOLETAS","772.2129055555555556","409.720616939337"
"Tierra del Fuego","AUSTRAL","LOS FLAMENCOS","253.2002600451612903","290.204604888527"
"Tierra del Fuego","AUSTRAL","LOS PATOS","470.4641962962962963","86.6051646797272597"
"Tierra del Fuego","AUSTRAL","MAGALLANES","663.7921739130434783","603.379087038657"
"Tierra del Fuego","AUSTRAL","RIO CHICO","32.9795500000000000",NULL
"Tierra del Fuego","AUSTRAL","SAN LUIS-PUNTA MARIA","278.8587800833333333","244.390903751379"
"Tierra del Fuego","AUSTRAL","SAN MARTIN","67.0458900000000000","37.5198999545354086"
"Tierra del Fuego","AUSTRAL","SAN SEBASTIAN","434.0779608938547486","427.412269223036"
"Santa Cruz","AUSTRAL","CAMPO BOLA","269.5154166666666667","302.192538732695"
"Santa Cruz","AUSTRAL","CAMPO BOLEADORAS","436.6834230769230769","223.314322569095"
"Santa Cruz","AUSTRAL","CAMPO BOLEADORAS OESTE","319.1472685185185185","242.913091063704"
"Santa Cruz","AUSTRAL","CAMPO BREMEN","56.8780000000000000","84.2511909114642723"
"Santa Cruz","AUSTRAL","CAMPO INDIO","339.5872395161290323","234.584705341121"
"Santa Cruz","AUSTRAL","CAMPO MOLINO","13.0211627906976744","13.3673219544818692"
"Santa Cruz","AUSTRAL","CAÑADON DEUS","505.5480000000000000",NULL
"Santa Cruz","AUSTRAL","CAÑADON SALTO","228.8457777777777778","7.6647159076148703"
"Santa Cruz","AUSTRAL","CERRO CONVENTO PAR","5.1450000000000000","5.6867829218284744"
"Santa Cruz","AUSTRAL","CERRO NORTE","284.8777966101694915","229.096097989527"
"Santa Cruz","AUSTRAL","CERRO NORTE OESTE","438.1180000000000000","265.385082318398"
"Santa Cruz","AUSTRAL","CERRO REDONDO","106.1005555555555556","35.8064622593153955"
"Santa Cruz","AUSTRAL","CHIMEN AIKE","102.0387142857142857","151.717914141510"
"Santa Cruz","AUSTRAL","CHORRILLOS VIEJO","167.3933333333333333","113.638717763797"
"Santa Cruz","AUSTRAL","DEL MOSQUITO","45.7500000000000000","1.0606601717798213"
"Santa Cruz","AUSTRAL","EL CAMPAMENTO","1339.8906363636363636","865.330989940528"
"Santa Cruz","AUSTRAL","EL CERRITO               ","84.5694126984126984","47.0808680483035660"
"Santa Cruz","AUSTRAL","EL CERRITO NORTE","1257.2991818181818182","849.137558463062"
"Santa Cruz","AUSTRAL","EL CERRITO OESTE","829.9305846153846154","498.833768505228"
"Santa Cruz","AUSTRAL","EL CONDOR","199.0749750000000000","186.208371821267"
"Santa Cruz","AUSTRAL","EL INDIO OESTE","5.1620000000000000","3.1608776607465998"
"Santa Cruz","AUSTRAL","EL PUMA","1487.4914324324324324","1416.327755062402"
"Santa Cruz","AUSTRAL","ESTANCIA AGUA FRESCA","9.8534011299435028","7.1204525665826369"
"Santa Cruz","AUSTRAL","ESTANCIA CAMPOS","13.9880000000000000",NULL
"Santa Cruz","AUSTRAL","ESTANCIA DOS LAGUNAS","160.8244736842105263","164.050528730457"
"Santa Cruz","AUSTRAL","ESTANCIA LA MAGGIE","73.2412295081967213","38.5708495716620354"
"Santa Cruz","AUSTRAL","FARO VIRGENES","397.7846666666666667","333.860458336941"
"Santa Cruz","AUSTRAL","LA PAZ","295.9066551724137931","204.562077092099"
"Santa Cruz","AUSTRAL","LA PAZ NORTE","62.2897777777777778","37.7869713055233423"
"Santa Cruz","AUSTRAL","LAGUNA DEL ORO","427.3081428571428571","224.046375799319"
"Santa Cruz","AUSTRAL","MAGALLANES","688.7853721682847896","724.803087152450"
"Santa Cruz","AUSTRAL","MARIA INES","3.4679333333333333","1.4419813925164348"
"Santa Cruz","AUSTRAL","MARIA INES OESTE","31.7127777777777778","3.8572971682830511"
"Santa Cruz","AUSTRAL","MARIA INES SUR","3.3518888888888889","0.46973328720786981407"
"Santa Cruz","AUSTRAL","Morena Sur","52.9888333333333333","11.0497060126804580"
"Santa Cruz","AUSTRAL","NORTERO NORESTE","263.2957142857142857","132.460335806251"
"Santa Cruz","AUSTRAL","OCEANO","203.2255555555555556","119.318900442377"
"Santa Cruz","AUSTRAL","POZOS SIN YACIMIENTO","249.2163934426229508","315.325573690817"
"Santa Cruz","AUSTRAL","PUESTO PETER","72.1224629629629630","70.7042939933076015"
"Santa Cruz","AUSTRAL","ZURI","4.9200000000000000","5.9406607376620995"
"Santa Cruz","GOLFO SAN JORGE","AGUADA BANDERA","3.3999290780141844","2.1445717176343161"
"Santa Cruz","GOLFO SAN JORGE","ANTICLINAL AGUADA BANDERA","7.5042635658914729","8.8905357662651754"
"Santa Cruz","GOLFO SAN JORGE","BARRANCA YANKOWSKY","599.8831250000000000","443.238974714598"
"Santa Cruz","GOLFO SAN JORGE","BAYO","360.9703513670411985","582.742122371598"
"Santa Cruz","GOLFO SAN JORGE","CAÑADON DE LA ESCONDIDA","3.0522222222222222","0.81347676330946567760"
"Santa Cruz","GOLFO SAN JORGE","CAÑADON LEON","17.9973412992930086","44.0075295435275011"
"Santa Cruz","GOLFO SAN JORGE","CAÑADON MINERALES","54.5376336716417910","119.301522831449"
"Santa Cruz","GOLFO SAN JORGE","CAÑADON SECO","71.1538012881732371","361.730943287987"
"Santa Cruz","GOLFO SAN JORGE","CAÑADON VASCO","2.5504242424242424","3.1173377020057819"
"Santa Cruz","GOLFO SAN JORGE","CAÑADON YATEL","26.8066125760649087","50.4376121681589312"
"Santa Cruz","GOLFO SAN JORGE","CERRO BAYO","11.6537500000000000","18.3162142947101269"
"Santa Cruz","GOLFO SAN JORGE","CERRO GRANDE","4.5666797752808989","10.6742657255097659"
"Santa Cruz","GOLFO SAN JORGE","CERRO GUADAL NORTE","55.1919117647058824","246.934753930143"
"Santa Cruz","GOLFO SAN JORGE","CERRO PIEDRAS","7.3308933717579251","18.5030388398610569"
"Santa Cruz","GOLFO SAN JORGE","CERRO WENCESLAO","14.1255674755244755","21.6462444482111846"
"Santa Cruz","GOLFO SAN JORGE","EL CORDON","48.2108744412955466","77.1698016639438455"
"Santa Cruz","GOLFO SAN JORGE","EL DESTINO","16.3508333333333333","23.1254184464125605"
"Santa Cruz","GOLFO SAN JORGE","EL GUADAL","1.7399904671115348","5.2811635742560825"
"Santa Cruz","GOLFO SAN JORGE","EL HUEMUL","64.1778934329663212","232.778172258786"
"Santa Cruz","GOLFO SAN JORGE","EL VALLE","4.5368636363636364","2.8176395898042707"
"Santa Cruz","GOLFO SAN JORGE","ESCORIAL","7.1673710248226950","30.2552852675232230"
"Santa Cruz","GOLFO SAN JORGE","ESTANCIA CHOLITA","25.1995361166335321","42.0401045586174851"
"Santa Cruz","GOLFO SAN JORGE","ESTANCIA LA MARIPOSA","146.9306290322580645","114.159597481854"
"Santa Cruz","GOLFO SAN JORGE","HUETEL","5.4535053786982249","6.0535306380866065"
"Santa Cruz","GOLFO SAN JORGE","KOLUEL KAIKE","35.7540368685714286","90.7652017937431293"
"Santa Cruz","GOLFO SAN JORGE","LA CUEVA","5.0320930232558140","7.2520698385717160"
"Santa Cruz","GOLFO SAN JORGE","LAS HERAS","16.8621847191069574","49.9821395594261614"
"Santa Cruz","GOLFO SAN JORGE","LAS MESETAS","14.9413435003631082","44.7540869257743954"
"Santa Cruz","GOLFO SAN JORGE","LOMAS DEL CUY","3.0185671752884258","6.2542051075882454"
"Santa Cruz","GOLFO SAN JORGE","LOS PERALES","7.7891260961596613","23.3141594149592802"
"Santa Cruz","GOLFO SAN JORGE","LOS SAUCES","22.7680000000000000","32.1781838067882302"
"Santa Cruz","GOLFO SAN JORGE","MESETA CERON CHICO","113.9097366666666667","32.4929745848837299"
"Santa Cruz","GOLFO SAN JORGE","MESETA ESPINOSA","99.1907653153374233","215.490850334966"
"Santa Cruz","GOLFO SAN JORGE","MESETA ESPINOSA (CGSJ-10)","170.7335416825000000","494.977651013103"
"Santa Cruz","GOLFO SAN JORGE","MESETA SIRVEN","52.8000000000000000","3.9274425123100147"
"Santa Cruz","GOLFO SAN JORGE","PICO TRUNCADO","31.2181472684085511","67.5123228249915826"
"Santa Cruz","GOLFO SAN JORGE","PIEDRA CLAVADA","13.2043828198198198","10.6671827427991160"
"Santa Cruz","GOLFO SAN JORGE","PIEDRA CLAVADA (CGSJ-IV)","29.1542955269841270","44.2457894906658681"
"Santa Cruz","GOLFO SAN JORGE","SUR PIEDRA CLAVADA","28.0744676674698795","41.2921017292112039"
"Santa Cruz","GOLFO SAN JORGE","TRES PICOS","27.8942876554621849","81.7809158690664215"
"Salta","NOROESTE","ALTO DE YARIGUARENDA","32.0650533333333333","1.6390290448463688"
"Salta","NOROESTE","CAMPO DURAN (SAN TELMO - LAS PEÑAS)","48.2628500000000000","1.00939493014379659108"
"Salta","NOROESTE","CAMPO DURAN (TRANQUITAS)","430.0785000000000000","143.595462187433"
"Salta","NOROESTE","CAMPO DURAN (TUPAMBI)","1085.3264236231884058","786.490440066474"
"Salta","NOROESTE","CHANGO NORTE-PORCELANA","846.0186470588235294","573.339900288195"
"Salta","NOROESTE","DOS PUNTITAS","16.2908751000000000","5.3207034529370741"
"Salta","NOROESTE","LOMITAS BLOQUE BAJO","73.1113600000000000","29.2855713827345360"
"Salta","NOROESTE","LOS BLANCOS","7.3870000000000000","7.1904405057455740"
"Salta","NOROESTE","MACUETA","11286.687370370370","6208.724598419198"
"Salta","NOROESTE","POZO ESCONDIDO","1.5606837692307692","2.7511553437923177"
"Salta","NOROESTE","PUESTO GUARDIAN","7.5841333703703704","6.3993061964493292"
"Salta","NOROESTE","RAMOS","2185.3212307692307692","3093.891387135648"
"Salta","NOROESTE","SAN PEDRITO","6271.3630444444444444","5773.875467675212"
"Salta","NOROESTE","SIERRA DE AGUARAGÜE (HUAMAMPAMPA)","860.6960750000000000","99.4590835767611860"
"Salta","NOROESTE","SIERRA DE AGUARAGÜE (SANTA ROSA ICLA)","1438.5878722926829268","1935.654772245770"
"Rio Negro","NEUQUINA","25 DE MAYO - MEDANITO SUDESTE RN","14.1943012073638526","7.520575260495895654"
"Rio Negro","NEUQUINA","AGUA SALADA","14.8445977777777778","1.1804099320233816"
"Rio Negro","NEUQUINA","AGUADA DE LOS INDIOS","29.8608953809523810","10.9855748689039959"
"Rio Negro","NEUQUINA","AGUADA DE LOS INDIOS SUR","1137.1789794964028777","1552.453047021015"
"Rio Negro","NEUQUINA","ANTICLINAL DE MARÍA","5.1800000000000000","4.1536841348243961"
"Rio Negro","NEUQUINA","ANTICLINAL DE MARÍA OCCIDENTAL","26.3007317073170732","23.7668718377328637"
"Rio Negro","NEUQUINA","ANTICLINAL VIEJO","4.1250000000000000","0.53033008588991064330"
"Rio Negro","NEUQUINA","BAJO DEL PICHE","22.4510550928571429","19.9326161055426577"
"Rio Negro","NEUQUINA","BAJO DEL PICHE OESTE","12.0694365581250000","9.7085092898964910"
"Rio Negro","NEUQUINA","BORDE MOCHO","12.1687420313500000","5.809779735322723880"
"Rio Negro","NEUQUINA","CATRIEL OESTE","3.9428991596638655","4.7351256336194110"
"Rio Negro","NEUQUINA","CENTRO ESTE","10.4377652666666667","5.1151273795732835"
"Rio Negro","NEUQUINA","CHAÑARAL REDONDO","266.7958000000000000","125.066524044806"
"Rio Negro","NEUQUINA","CHARCO BAYO","70.1342694603760984","250.321466922919275207"
"Rio Negro","NEUQUINA","CHARCO DEL PALENQUE","22.1270786568861789","19.471645680903087393"
"Rio Negro","NEUQUINA","CHARCO DEL PALENQUE SUR","27.9501570288000000","18.000277335823721182"
"Rio Negro","NEUQUINA","CNQ-32 PUESTO ZUÑIGA","1194.4861224489795918","1042.205328194386"
"Rio Negro","NEUQUINA","DIVISADERO CATRIEL","16.0324071428571429","11.1910895993481065"
"Rio Negro","NEUQUINA","EL LÁTIGO OCCIDENTAL","4.7844936708860759","3.4242926737132607"
"Rio Negro","NEUQUINA","EL MEDANITO","18.4119058267212389","21.268733188609824856"
"Rio Negro","NEUQUINA","EL MEDANITO SUR","108.7683333333333333","82.4465982348574525"
"Rio Negro","NEUQUINA","EL SANTIAGUEÑO","19.5665246891891892","33.5456199141156111"
"Rio Negro","NEUQUINA","ESTACION FERNANDEZ ORO","156.9726602756141402","164.491501275050"
"Rio Negro","NEUQUINA","ESTANCIA VIEJA","8.0099336481382114","18.890155356849242144"
"Rio Negro","NEUQUINA","JAGUEL DEL MORO","99.6757561111111111","79.0115354019247093"
"Rio Negro","NEUQUINA","JARILLA QUEMADA","316.9249133420000000","285.665966397201282691"
"Rio Negro","NEUQUINA","LA BARDA","19.7022063888888889","6.7923974955038977"
"Rio Negro","NEUQUINA","LA JARILLA","15.2201546984126984","9.0914229132393625"
"Rio Negro","NEUQUINA","LA PISTA","7.8307456933000000","1.830263112134549665"
"Rio Negro","NEUQUINA","LA YESERA","789.7526923076923077","519.750959560886"
"Rio Negro","NEUQUINA","LAS LAGUNAS","14.8191861005000000","1.9241150859572830"
"Rio Negro","NEUQUINA","LAS LAGUNAS NORTE","7.2874237462750000","1.722885380540355505"
"Rio Negro","NEUQUINA","LOMA AZUL","278.2667698611111111","222.068580953328"
"Rio Negro","NEUQUINA","LOMA AZUL NORTE ","908.6583877777777778","631.003805890041"
"Rio Negro","NEUQUINA","LOMA CORTADA","69.8892788888888889","10.6562375490571770"
"Rio Negro","NEUQUINA","LOMA DE MARÍA","1000.3020143884892086","647.483121582018"
"Rio Negro","NEUQUINA","LOMA GUADALOSA","12.3259090909090909","12.6278349609450392"
"Rio Negro","NEUQUINA","LOMA NEGRA","8.2516027874564460","12.9968842235357395"
"Rio Negro","NEUQUINA","LOS CALDENES","42.9879381443298969","75.1995440805568660"
"Rio Negro","NEUQUINA","LOS RAMBLONES","20.7739260982786260","26.206525349811160035"
"Rio Negro","NEUQUINA","MEDIANERA","19.6701861680555556","6.5189990700927653"
"Rio Negro","NEUQUINA","MESETA ALTA","7.5610161112299465","3.9195498746900621"
"Rio Negro","NEUQUINA","MESETA FILOSA","12.0272560788500000","6.318864996588707658"
"Rio Negro","NEUQUINA","MOLLE MORADO","3.7925000000000000","2.7434736844268904"
"Rio Negro","NEUQUINA","PALENQUE DE LA CHINA","329.9832888888888889","54.3375494379984724"
"Rio Negro","NEUQUINA","PIEDRAS BLANCAS","29.1695682632595122","75.429024824465123464"
"Rio Negro","NEUQUINA","PLANICIE MORADA","10.0292675555555556","7.1338311026445340"
"Rio Negro","NEUQUINA","PUESTO FLORES","7.5815166850821918","7.151162220815735966"
"Rio Negro","NEUQUINA","PUESTO MORALES","19.9244400769230769","26.4956358365121611"
"Rio Negro","NEUQUINA","PUESTO MORALES ESTE","32.4646062000000000","31.5177842103564337"
"Rio Negro","NEUQUINA","PUESTO PINO","5.9616571111111111","0.27049967512755188355"
"Rio Negro","NEUQUINA","PUESTO PRADO","1.6383334666888889","1.551774726203712863"
"Rio Negro","NEUQUINA","PUNTA  BARDA","0.11633647798742138365","0.10266652686307779127"
"Rio Negro","NEUQUINA","PUNTA MESETA ALTA","3.4569380516129032","1.2204293604103336"
"Rio Negro","NEUQUINA","PUNTA ROSADA","170.6420000000000000","45.2634160508695769"
"Rio Negro","NEUQUINA","RINCONADA","0.77939919354838709677","0.59561909307786182121"
"Rio Negro","NEUQUINA","RIO NEUQUEN","103.3545689655172414","526.259227384792"
"Rio Negro","NEUQUINA","SEÑAL PICADA","1.9468436154949785","3.0970867749871213"
"Rio Negro","NEUQUINA","SUR CATRIEL OESTE","7.0793881538461538","4.7569404296698567"
"Rio Negro","NEUQUINA","TAPERA AVENDAÑO","14.1711103211131387","10.358014067027923512"
"Neuquén","NEUQUINA","ABUTARDA","6.7480000000000000","0.76496623019145971535"
"Neuquén","NEUQUINA","AGUA DE AFUERA","732.5740000000000000","739.507315230891"
"Neuquén","NEUQUINA","AGUA DEL CAJON","27.8713309352517986","46.2230136238965279"
"Neuquén","NEUQUINA","AGUADA BAGUALES","16.2409289378109453","43.3873202688645398"
"Neuquén","NEUQUINA","AGUADA CÁNEPA","111.1155908333333333","93.7369059198375527"
"Neuquén","NEUQUINA","AGUADA DE CASTRO","3964.3563045614035088","4356.445694679828"
"Neuquén","NEUQUINA","AGUADA DE LA ARENA","4136.7905934718100890","4053.491521444037"
"Neuquén","NEUQUINA","AGUADA DEL CHIVATO","53.4967398936170213","70.6030680595378722"
"Neuquén","NEUQUINA","AGUADA DEL PONCHO","57.8733750000000000","52.7551140701408343"
"Neuquén","NEUQUINA","AGUADA FEDERAL","195.8915578231292517","204.116779370815"
"Neuquén","NEUQUINA","AGUADA LOS LOROS","750.5578620689655172","283.812114044249"
"Neuquén","NEUQUINA","AGUADA PICHANA ESTE MULICHINCO","335.7097306942745970","453.227567434388"
"Neuquén","NEUQUINA","AGUADA PICHANA ESTE VACA MUERTA","4083.2701412298507463","3817.049028170057"
"Neuquén","NEUQUINA","AGUADA PICHANA OESTE","6498.2274320621468927","4051.661178482317"
"Neuquén","NEUQUINA","AGUADA SAN ROQUE","1218.6464805555555556","827.423055404874"
"Neuquén","NEUQUINA","AGUADA TOLEDO","10.6306035665294925","20.7207765661265435"
"Neuquén","NEUQUINA","AGUILA MORA","358.1302777777777778","360.032012649876"
"Neuquén","NEUQUINA","ANTICLINAL CAMPAMENTO","73.4209071520467836","152.177984406049"
"Neuquén","NEUQUINA","ANTICLINAL CAMPAMENTO ESTE","103.9160100000000000","47.8502406985040826"
